"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.878291070E-1,-4.246702194E-1,-2.672931671E0,9.445424080E0
5.902516590E-1,-4.198236465E-1,-2.663197756E0,9.421494484E0
5.926742640E-1,-4.055799544E-1,-2.658565044E0,9.430997849E0
5.950969200E-1,-3.866207898E-1,-2.663452864E0,9.421278000E0
5.975195240E-1,-4.197512865E-1,-2.644165754E0,9.450306892E0
5.999421280E-1,-4.573045373E-1,-2.557976007E0,9.541905403E0
6.023647320E-1,-4.902280867E-1,-2.533215523E0,9.470403671E0
6.047873370E-1,-4.716479480E-1,-2.619259357E0,9.378930092E0
6.072097840E-1,-4.530398548E-1,-2.695819378E0,9.306649208E0
6.096323890E-1,-4.531822205E-1,-2.710427046E0,9.335316658E0
6.120549410E-1,-4.628195465E-1,-2.724993467E0,9.368832588E0
6.144776490E-1,-4.486904144E-1,-2.725484371E0,9.426196098E0
6.169002010E-1,-4.107388556E-1,-2.721065998E0,9.440335274E0
6.193228570E-1,-3.728847504E-1,-2.735774517E0,9.440025330E0
6.217453050E-1,-3.538894057E-1,-2.731146574E0,9.444709778E0
6.241680140E-1,-3.347517550E-1,-2.711910486E0,9.420728683E0
6.265907220E-1,-3.298579752E-1,-2.683239937E0,9.439976692E0
6.290133780E-1,-3.298996687E-1,-2.697466373E0,9.411185265E0
6.314360870E-1,-3.298102617E-1,-2.692438364E0,9.377688408E0
6.338587950E-1,-3.345535398E-1,-2.692401886E0,9.377719879E0
6.362815030E-1,-3.441404700E-1,-2.706777573E0,9.382508278E0
6.387041070E-1,-3.583647311E-1,-2.701957941E0,9.396985054E0
6.411267640E-1,-3.867964745E-1,-2.692255259E0,9.416365623E0
6.435494720E-1,-3.821145892E-1,-2.701903105E0,9.416292191E0
6.459721800E-1,-3.679852486E-1,-2.716461420E0,9.420924187E0
6.483949930E-1,-4.012719393E-1,-2.716524124E0,9.469021797E0
6.508176490E-1,-3.823463917E-1,-2.721539021E0,9.478453636E0
6.532403570E-1,-3.917825520E-1,-2.721275330E0,9.449787140E0
6.556630140E-1,-3.917434812E-1,-2.716438055E0,9.445019722E0
6.580857740E-1,-3.822569549E-1,-2.716511011E0,9.444957733E0
6.605084300E-1,-3.916988969E-1,-2.706889868E0,9.454637527E0
6.629310870E-1,-3.964199126E-1,-2.702079773E0,9.459478378E0
6.653537950E-1,-3.822011352E-1,-2.711609602E0,9.430613518E0
6.677764510E-1,-3.964948952E-1,-2.730500460E0,9.397106171E0
6.701991590E-1,-3.822066188E-1,-2.716320276E0,9.416230202E0
6.726219200E-1,-3.916931450E-1,-2.716247320E0,9.416291237E0
6.750446800E-1,-3.917238116E-1,-2.721052885E0,9.416270256E0
6.774674410E-1,-3.868523240E-1,-2.697156191E0,9.430706978E0
6.798901490E-1,-3.916624486E-1,-2.711441278E0,9.416312218E0
6.823128570E-1,-4.012716711E-1,-2.730591536E0,9.416290283E0
6.847354620E-1,-3.774158955E-1,-2.711487055E0,9.406642914E0
6.871581700E-1,-3.869414628E-1,-2.716251850E0,9.411472321E0
6.895809820E-1,-3.868494332E-1,-2.701834679E0,9.411535263E0
6.920037950E-1,-3.774158955E-1,-2.711487055E0,9.406642914E0
6.944264510E-1,-3.631219268E-1,-2.706663847E0,9.387418747E0
6.968492640E-1,-3.678344786E-1,-2.701821804E0,9.387471199E0
6.992720240E-1,-3.679293692E-1,-2.711560011E0,9.406580925E0
7.016949410E-1,-3.726474643E-1,-2.711428165E0,9.392248154E0
7.041178050E-1,-3.915675282E-1,-2.701702833E0,9.397200584E0
7.065406700E-1,-3.678289652E-1,-2.697111368E0,9.401855469E0
7.089634820E-1,-3.725276291E-1,-2.687526941E0,9.411504745E0
7.113863990E-1,-3.914616108E-1,-2.682543516E0,9.406861305E0
7.138092640E-1,-3.725444078E-1,-2.687590599E0,9.421080589E0
7.162321280E-1,-3.583201766E-1,-2.692410231E0,9.406602859E0
7.186549930E-1,-3.678486347E-1,-2.692496538E0,9.430604935E0
7.210779090E-1,-3.963053226E-1,-2.696955919E0,9.411618233E0
7.235007740E-1,-3.868439198E-1,-2.697124243E0,9.425920486E0
7.259235870E-1,-3.820477426E-1,-2.687581301E0,9.430718422E0
7.283463990E-1,-3.868662119E-1,-2.701898336E0,9.421111107E0
7.307693680E-1,-3.678570092E-1,-2.692528248E0,9.435394287E0
7.331921800E-1,-3.678011894E-1,-2.687627077E0,9.421050072E0
7.356150970E-1,-3.536663055E-1,-2.697474718E0,9.440068245E0
7.380380140E-1,-3.441323340E-1,-2.692678690E0,9.430450439E0
7.404608260E-1,-3.630049825E-1,-2.678084135E0,9.425848961E0
7.428835340E-1,-3.583091497E-1,-2.682989359E0,9.435374260E0
7.453062950E-1,-3.581919670E-1,-2.668477058E0,9.421072006E0
7.477289510E-1,-3.488979042E-1,-2.697415829E0,9.425672531E0
7.501517120E-1,-3.582839966E-1,-2.682893991E0,9.421009064E0
7.525745760E-1,-3.486941755E-1,-2.673196793E0,9.397047997E0
7.549974930E-1,-3.581612706E-1,-2.663671494E0,9.421092987E0
7.574202530E-1,-3.582142293E-1,-2.673251152E0,9.416263580E0
7.598430660E-1,-3.582365215E-1,-2.678025007E0,9.411454201E0
7.622659300E-1,-3.676532805E-1,-2.668308973E0,9.406769753E0
7.646888470E-1,-3.677230477E-1,-2.677952290E0,9.411516190E0
7.671117120E-1,-3.677285314E-1,-2.682662249E0,9.397130013E0
7.695346280E-1,-3.724940717E-1,-2.687399864E0,9.392353058E0
7.719575450E-1,-3.819890022E-1,-2.687358618E0,9.397201538E0
7.743804090E-1,-3.677537143E-1,-2.682757616E0,9.411495209E0
7.768031700E-1,-3.820225596E-1,-2.687485933E0,9.416355133E0
7.792258780E-1,-4.009287357E-1,-2.673018694E0,9.430904388E0
7.816485870E-1,-3.916123807E-1,-2.697183132E0,9.440316200E0
7.840712950E-1,-3.866989315E-1,-2.673127890E0,9.430811882E0
7.864941590E-1,-3.915733099E-1,-2.692345858E0,9.435548782E0
7.889168680E-1,-4.010459185E-1,-2.687530994E0,9.445206642E0
7.913395760E-1,-4.104543328E-1,-2.677783251E0,9.435734749E0
7.937621800E-1,-3.868161142E-1,-2.687640190E0,9.445114136E0
7.961848370E-1,-3.916262686E-1,-2.701925516E0,9.430717468E0
7.986075450E-1,-3.726532161E-1,-2.702071428E0,9.430593491E0
8.010302010E-1,-3.773435056E-1,-2.692455292E0,9.435455322E0
8.034529620E-1,-3.678654134E-1,-2.692559958E0,9.440182686E0
8.058757220E-1,-3.488785028E-1,-2.687963486E0,9.449655533E0
8.082985870E-1,-3.631221950E-1,-2.692596436E0,9.440151215E0
8.107213470E-1,-3.582561910E-1,-2.673409939E0,9.440203667E0
8.131440030E-1,-3.488226533E-1,-2.683062315E0,9.435312271E0
8.155667120E-1,-3.582729697E-1,-2.673473597E0,9.449779510E0
8.179893680E-1,-3.582087457E-1,-2.668540716E0,9.430647850E0
8.204120760E-1,-3.534431458E-1,-2.663803339E0,9.435426712E0
8.228348370E-1,-3.487975001E-1,-2.682966948E0,9.420947075E0
8.252575970E-1,-3.535351753E-1,-2.678220510E0,9.435363770E0
8.276803570E-1,-3.677927852E-1,-2.687595367E0,9.416262627E0
8.301031180E-1,-3.629520237E-1,-2.668504477E0,9.430678368E0
8.325258260E-1,-3.582058549E-1,-2.673219204E0,9.411475182E0
8.349485870E-1,-3.677844107E-1,-2.687563419E0,9.411474228E0
8.373713470E-1,-3.677259088E-1,-2.673273802E0,9.430687904E0
8.397941590E-1,-3.582588136E-1,-2.682798624E0,9.406644821E0
8.422169720E-1,-3.820254505E-1,-2.682807207E0,9.435528755E0
8.446396280E-1,-3.820561171E-1,-2.687613010E0,9.435507774E0
8.470623370E-1,-3.772653639E-1,-2.682780027E0,9.425920486E0
8.494849930E-1,-3.961770833E-1,-2.673022985E0,9.426086426E0
8.519076490E-1,-3.724300563E-1,-2.668399572E0,9.425952911E0
8.543303570E-1,-3.819166124E-1,-2.668326616E0,9.426014900E0
8.567531180E-1,-3.772569895E-1,-2.682748318E0,9.421133041E0
8.591758260E-1,-3.772627711E-1,-2.673391581E0,9.459480286E0
8.615986910E-1,-3.962161839E-1,-2.677860737E0,9.430852890E0
8.640215550E-1,-3.913724422E-1,-2.663448095E0,9.426096916E0
8.664445760E-1,-3.914170265E-1,-2.672996044E0,9.416480064E0
8.688674410E-1,-3.724271953E-1,-2.673078299E0,9.406779289E0
8.712903570E-1,-3.914254308E-1,-2.673027754E0,9.421267509E0
8.737131700E-1,-3.914616108E-1,-2.682543516E0,9.406861305E0
8.761359300E-1,-3.770868480E-1,-2.658656359E0,9.411661148E0
8.785587430E-1,-3.677927852E-1,-2.687595367E0,9.416262627E0
8.809815550E-1,-3.820002973E-1,-2.682711840E0,9.421163559E0
8.834043680E-1,-3.725889623E-1,-2.697138309E0,9.411463737E0
8.858271800E-1,-3.535797596E-1,-2.687767982E0,9.425745010E0
8.882500450E-1,-3.487975001E-1,-2.682966948E0,9.420947075E0
8.906728570E-1,-3.582533002E-1,-2.678088665E0,9.421030045E0
8.930956700E-1,-3.677175045E-1,-2.673241854E0,9.425900459E0
8.955185340E-1,-3.582616746E-1,-2.678120375E0,9.425818443E0
8.979413470E-1,-3.772402108E-1,-2.682684660E0,9.411557198E0
9.003641590E-1,-3.773183525E-1,-2.692359924E0,9.421091080E0
9.027868160E-1,-3.631054163E-1,-2.692533016E0,9.430573463E0
9.052095240E-1,-3.725081980E-1,-2.678074837E0,9.435487747E0
9.076323370E-1,-3.583230376E-1,-2.687731504E0,9.425776482E0
9.100549930E-1,-3.725666702E-1,-2.692364693E0,9.416272163E0
9.124776490E-1,-3.536579013E-1,-2.697443008E0,9.435279846E0
9.149003570E-1,-3.820477426E-1,-2.687581301E0,9.430718422E0
9.173230660E-1,-3.631221950E-1,-2.692596436E0,9.440151215E0
9.197457740E-1,-3.773826063E-1,-2.697292566E0,9.440222740E0
9.221685870E-1,-3.725611866E-1,-2.687654257E0,9.430656433E0
9.245914510E-1,-3.820867836E-1,-2.692418814E0,9.435486794E0
9.270142640E-1,-3.868132532E-1,-2.692318678E0,9.425940514E0
9.294370760E-1,-3.869443536E-1,-2.711573124E0,9.430644989E0
9.318598370E-1,-3.868439198E-1,-2.697124243E0,9.425920486E0
9.342827530E-1,-3.868606985E-1,-2.697187901E0,9.435496330E0
9.367055140E-1,-3.963053226E-1,-2.696955919E0,9.411618233E0
9.391284300E-1,-3.963918388E-1,-2.706662655E0,9.425939560E0
9.415512430E-1,-3.916094899E-1,-2.701861858E0,9.421141624E0
9.439740550E-1,-3.916708529E-1,-2.711472988E0,9.421099663E0
9.463968160E-1,-3.915871978E-1,-2.697087765E0,9.425951004E0
9.488196280E-1,-3.915788233E-1,-2.697056055E0,9.421162605E0
9.512424930E-1,-4.057417214E-1,-2.682625055E0,9.435683250E0
9.536653050E-1,-3.915565312E-1,-2.692282200E0,9.425971985E0
