
"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.085126040E-1,4.808229446E0,8.637028694E0,1.457371235E0
4.109385930E-1,4.841977119E0,8.638839722E0,1.145926952E0
4.133645830E-1,4.766354084E0,8.612305641E0,8.877374530E-1
4.157905720E-1,4.624050617E0,8.580553055E0,7.688153982E-1
4.182165620E-1,4.367477417E0,8.501144409E0,7.222480774E-1
4.206425510E-1,4.082240105E0,8.411799431E0,7.572223544E-1
4.230685410E-1,3.739857674E0,8.293899536E0,8.163828254E-1
4.254945310E-1,3.411769629E0,8.180826187E0,8.563188314E-1
4.279205200E-1,3.088566542E0,8.082320213E0,8.675580025E-1
4.303465100E-1,2.803474903E0,8.002905846E0,8.546929955E-1
4.327724990E-1,2.641975164E0,7.965764999E0,8.460004926E-1
4.351984890E-1,2.556766987E0,7.990510941E0,8.370851874E-1
4.376244790E-1,2.548145294E0,8.087651253E0,6.939215660E-1
4.400504680E-1,2.544694185E0,8.242647171E0,5.174611807E-1
4.424764580E-1,2.517749786E0,8.431495667E0,3.365135789E-1
4.449024470E-1,2.410267591E0,8.640089989E0,1.705394685E-1
4.473284370E-1,2.146258354E0,8.821752548E0,-9.987865388E-2
4.497544260E-1,1.844208360E0,8.965834618E0,-4.564029872E-1
4.521804160E-1,1.537691474E0,9.153203964E0,-8.127081394E-1
4.546064060E-1,1.368413329E0,9.319561005E0,-1.059866548E0
4.570323950E-1,1.312827706E0,9.517317772E0,-1.101731539E0
4.594583850E-1,1.385058045E0,9.713135719E0,-1.000787139E0
4.618843740E-1,1.547329307E0,9.917334557E0,-8.189906478E-1
4.643103640E-1,1.723810911E0,1.011196899E1,-6.612690091E-1
4.667363540E-1,1.895466089E0,1.026412010E1,-6.138316393E-1
4.691623430E-1,2.081060886E0,1.036817074E1,-5.762721300E-1
4.715883330E-1,2.233230114E0,1.042473507E1,-5.865867138E-1
4.740143220E-1,2.361418486E0,1.043358517E1,-6.208963990E-1
4.764403120E-1,2.475164652E0,1.041829300E1,-6.217010021E-1
4.788663010E-1,2.641034365E0,1.036488628E1,-7.331397533E-1
4.812922910E-1,2.858909607E0,1.028698730E1,-8.354468346E-1
4.837182810E-1,3.199754477E0,1.019741535E1,-7.710152268E-1
4.861442700E-1,3.692079306E0,1.009614277E1,-5.687591434E-1
4.885702600E-1,4.231604576E0,1.001707363E1,-1.464540064E-1
4.909962490E-1,4.804034710E0,9.969450951E0,5.678563714E-1
4.934222390E-1,5.333491802E0,9.907006264E0,1.392509222E0
4.958482290E-1,5.834558964E0,9.784087181E0,1.948940754E0
4.982742180E-1,6.251123428E0,9.688587189E0,2.094254732E0
5.007002080E-1,6.563895226E0,9.572561264E0,1.833154321E0
5.031261970E-1,6.791481495E0,9.429788589E0,1.357019305E0
5.055521870E-1,6.900430679E0,9.297093391E0,9.487324357E-1
5.079781760E-1,6.871294022E0,9.139995575E0,7.567029595E-1
5.104041660E-1,6.804230213E0,9.020778656E0,6.943674088E-1
5.128301560E-1,6.793726444E0,8.857552528E0,6.793539524E-1
5.152561450E-1,6.944548607E0,8.712057114E0,7.016780972E-1
5.176821350E-1,7.099817753E0,8.541956902E0,8.052647710E-1
5.201081240E-1,7.245444298E0,8.366645813E0,9.807142019E-1
5.225341140E-1,7.226008415E0,8.285317421E0,9.469655752E-1
5.249601040E-1,7.111582279E0,8.176106453E0,8.801928163E-1
5.273860930E-1,6.855044842E0,8.092144966E0,7.952995300E-1
5.298120830E-1,6.451491356E0,8.037543297E0,8.024643064E-1
5.322380720E-1,6.028537273E0,7.925196171E0,8.430186510E-1
5.346640620E-1,5.581914902E0,7.831968784E0,9.269043207E-1
5.370900510E-1,5.073565483E0,7.734282017E0,1.030323386E0
5.395160410E-1,4.579304218E0,7.607810497E0,1.109583735E0
5.419420310E-1,4.127885342E0,7.490972042E0,1.135938287E0
5.443680200E-1,3.662116289E0,7.378476143E0,1.248592496E0
5.467940100E-1,3.277005672E0,7.270135403E0,1.365530491E0
5.492199990E-1,2.877695084E0,7.180776119E0,1.535314083E0
5.516459890E-1,2.573252916E0,7.100076675E0,1.738038063E0
5.540719790E-1,2.340204954E0,7.043209553E0,1.887733698E0
5.564979680E-1,1.979356408E0,7.044612885E0,2.095972300E0
5.589239580E-1,1.746215820E0,7.001461983E0,2.351069212E0
5.613499470E-1,1.608269811E0,6.996347427E0,2.557833672E0
5.637759370E-1,1.636354566E0,7.004086971E0,2.806672335E0
5.662019260E-1,1.845131874E0,7.087173462E0,3.078611374E0
5.686279160E-1,2.191486120E0,7.173976421E0,3.354463100E0
5.710539060E-1,2.713824511E0,7.294088364E0,3.476097822E0
5.734798950E-1,3.269525051E0,7.400482178E0,3.453809261E0
5.759058850E-1,3.887337685E0,7.540931702E0,3.297198057E0
5.783318740E-1,4.524182320E0,7.667390823E0,3.054214478E0
5.807578640E-1,5.080938339E0,7.862193584E0,2.745015144E0
5.831838540E-1,5.627923012E0,8.013785362E0,2.440477610E0
5.856098430E-1,6.103840828E0,8.184988976E0,2.160428286E0
5.880358330E-1,6.480140686E0,8.342859268E0,1.833084106E0
5.904618220E-1,6.803762913E0,8.457018852E0,1.635170937E0
5.928878120E-1,7.102749825E0,8.506918907E0,1.734003901E0
5.953138010E-1,7.339080334E0,8.408157349E0,1.856531143E0
5.977397910E-1,7.546606541E0,8.256717682E0,1.983802199E0
6.001657810E-1,7.758502483E0,8.042864799E0,2.096405983E0
6.025917700E-1,7.884675980E0,7.786163330E0,2.247682810E0
6.050177600E-1,7.921467304E0,7.598609447E0,2.222679377E0
6.074437490E-1,7.826383591E0,7.476583958E0,1.892373800E0
6.098697390E-1,7.741704464E0,7.447065353E0,1.370878577E0
6.122957290E-1,7.615256786E0,7.533910275E0,7.448247671E-1
6.147217180E-1,7.460815430E0,7.711836815E0,1.863875985E-1
6.171477080E-1,7.216530800E0,7.943095684E0,-3.377155066E-1
6.195736970E-1,6.834978580E0,8.228082657E0,-8.319634199E-1
6.219996870E-1,6.358609676E0,8.556192398E0,-1.196125388E0
6.244256760E-1,5.858558655E0,8.912746429E0,-1.473821521E0
6.268516660E-1,5.301041126E0,9.244214058E0,-1.526209354E0
6.292776560E-1,4.757202625E0,9.540661812E0,-1.387311459E0
6.317036450E-1,4.269577026E0,9.768344879E0,-1.091069341E0
6.341296350E-1,3.847737551E0,9.908759117E0,-7.573314309E-1
6.365556240E-1,3.424868584E0,9.932725906E0,-2.565110624E-1
6.389816140E-1,3.058692217E0,9.927260399E0,2.677534819E-1
6.414076040E-1,2.762912273E0,9.791784286E0,7.478966713E-1
6.438335930E-1,2.360803366E0,9.344800949E0,1.217784524E0
6.462595830E-1,4.589276314E-1,6.652567863E0,2.108895779E0
6.486855720E-1,6.187691689E-1,5.722841263E0,2.247421980E0
6.511115620E-1,1.113339067E0,5.812965870E0,1.851978421E0
6.535375510E-1,9.856289029E-1,5.655865669E0,1.052485824E0
6.559635410E-1,1.716412783E0,6.096220016E0,-2.479217052E-1
6.583895310E-1,2.266149044E0,6.436437130E0,-1.456619382E0
6.608155200E-1,2.808704853E0,6.556429863E0,-2.062924147E0
6.632415100E-1,3.911594152E0,6.838635921E0,-2.418374062E0
6.656674990E-1,5.023403168E0,7.085793018E0,-2.572931051E0
6.680934890E-1,6.015164375E0,7.201692581E0,-2.363382816E0
6.705194790E-1,6.939383030E0,7.266898632E0,-1.679586649E0
6.729454680E-1,7.654703140E0,7.323588371E0,-9.178622961E-1
6.753714580E-1,7.923229694E0,7.277025700E0,-1.004858315E-2
6.777974470E-1,8.011649132E0,7.213610649E0,7.504243851E-1
6.802234370E-1,7.863671780E0,7.220568180E0,1.321210861E0
6.826494260E-1,7.525082111E0,7.089652061E0,1.887839437E0
6.850754160E-1,7.239489079E0,7.017719269E0,2.195819855E0
6.875014060E-1,6.987842083E0,6.981173515E0,2.202079296E0
6.899273950E-1,6.741612434E0,6.984658718E0,1.964280844E0
6.923533850E-1,6.552549839E0,7.007404804E0,1.654373288E0
6.947793740E-1,6.496784210E0,7.087244987E0,1.276817203E0
6.972053640E-1,6.455018997E0,7.156727314E0,9.948888421E-1
6.996313540E-1,6.312630653E0,7.101201534E0,8.375573158E-1
7.020573430E-1,6.183705807E0,7.005151272E0,9.768292904E-1
7.044833330E-1,5.949571133E0,6.883203030E0,1.518878937E0
7.069093220E-1,5.696153641E0,6.732089043E0,2.132748604E0
7.093353120E-1,5.365788937E0,6.450947762E0,2.875827551E0
7.117613010E-1,5.125465393E0,6.178184032E0,3.699759007E0
7.141872910E-1,4.962007523E0,5.988251209E0,4.264993191E0
7.166132810E-1,4.756450653E0,5.838394165E0,4.634358883E0
7.190392700E-1,4.479501247E0,5.674095154E0,5.090312481E0
7.214652600E-1,4.284457684E0,5.631226540E0,5.258975983E0
7.238912490E-1,4.052369118E0,5.723365784E0,5.404531479E0
7.263172390E-1,3.973975420E0,5.962261200E0,4.984726906E0
7.287432290E-1,3.757368088E0,6.152821541E0,4.766711235E0
7.311692180E-1,3.603170872E0,6.411396027E0,4.366637230E0
7.335952080E-1,3.419394255E0,6.590913773E0,4.325523853E0
7.360211970E-1,3.331293106E0,6.833733559E0,4.049445629E0
7.384471870E-1,3.247583151E0,7.032979488E0,3.816241026E0
7.408731760E-1,3.144458532E0,7.211942196E0,3.765025377E0
7.432991660E-1,3.217309475E0,7.438247681E0,3.617112637E0
7.457251560E-1,3.260550976E0,7.538489342E0,3.669943094E0
7.481511450E-1,3.422577620E0,7.647971153E0,3.640644073E0
7.505771350E-1,3.698104620E0,7.731850624E0,3.715837717E0
7.530031240E-1,4.167865753E0,7.752366066E0,3.698517561E0
7.554291140E-1,4.713072300E0,7.733090401E0,3.795450211E0
7.578551040E-1,5.604534149E0,7.743967056E0,4.014763832E0
7.602810930E-1,6.163165569E0,7.693395138E0,4.465799809E0
7.627070830E-1,6.303840160E0,7.597051620E0,5.058201790E0
7.651330720E-1,6.401675701E0,7.458262444E0,5.578872204E0
7.675590620E-1,6.386218071E0,7.294279575E0,5.683592796E0
7.699850510E-1,6.446890831E0,7.083722591E0,5.476381779E0
7.724110410E-1,6.526731014E0,6.845616341E0,5.053455830E0
7.748370310E-1,6.606688023E0,6.622022629E0,4.616229057E0
7.772630200E-1,6.753098011E0,6.402788162E0,4.169013500E0
7.796890100E-1,7.114249229E0,6.360327244E0,3.630206347E0
7.821149990E-1,7.451729774E0,6.407321930E0,3.398391008E0
7.845409890E-1,7.851171494E0,6.544070244E0,3.329366922E0
7.869669790E-1,8.293545723E0,6.761137486E0,3.418428183E0
7.893929680E-1,9.124878883E0,7.026839256E0,3.691921473E0
7.918189580E-1,1.024589825E1,7.380735397E0,4.097993851E0
7.942449470E-1,1.096840763E1,7.709271908E0,4.444291592E0
7.966709370E-1,1.024954605E1,8.051081657E0,4.469606876E0
7.990969260E-1,8.215913773E0,8.315215111E0,4.694632530E0
8.015229160E-1,4.128814220E0,8.605883598E0,4.760713100E0
8.039489060E-1,3.506153822E0,8.975477219E0,4.110389233E0
8.063748950E-1,5.239544392E0,9.223365784E0,3.846465111E0
8.088008850E-1,5.960095882E0,9.197457314E0,4.014055252E0
8.112268740E-1,6.418956757E0,9.001664162E0,4.015007973E0
8.136528640E-1,6.910827160E0,8.818949699E0,4.178603649E0
8.160788540E-1,6.594900608E0,8.472836494E0,4.557400227E0
8.185048430E-1,5.766028404E0,8.076523781E0,5.130830288E0
8.209308330E-1,5.107891560E0,7.702260494E0,5.803801537E0
8.233568220E-1,4.715965748E0,7.379771709E0,6.331628799E0
8.257828120E-1,4.529572487E0,7.192977428E0,6.451721668E0
8.282088010E-1,4.353400707E0,7.027652740E0,6.222303867E0
8.306347910E-1,4.149548531E0,6.921772957E0,5.758704662E0
8.330607810E-1,3.888992310E0,6.835902214E0,5.242890358E0
8.354867700E-1,3.599596500E0,6.725364208E0,4.856436253E0
8.379127600E-1,3.329059362E0,6.623624325E0,4.570451260E0
8.403387490E-1,3.015525103E0,6.502290249E0,4.389999390E0
8.427647390E-1,2.682759285E0,6.309780121E0,4.094442368E0
8.451907290E-1,2.260005474E0,6.118470192E0,3.722862959E0
8.476167180E-1,1.869988799E0,5.878245354E0,3.441832066E0
8.500427080E-1,1.725699782E0,5.548223019E0,3.369494915E0
8.524686970E-1,1.462301373E0,5.203042507E0,3.546849728E0
8.548946870E-1,9.570770860E-1,4.892852306E0,3.802537918E0
8.573206760E-1,2.334150970E-1,4.522437096E0,3.973190069E0
8.597466660E-1,-5.707874894E-1,4.162379265E0,4.125256538E0
8.621726560E-1,-1.261268973E0,3.786934376E0,4.290883541E0
8.645986450E-1,-1.843236208E0,3.356867075E0,4.594424248E0
8.670246350E-1,-2.303480864E0,2.741583824E0,5.145349026E0
8.694506240E-1,-2.664774656E0,2.019873381E0,5.685588837E0
8.718766140E-1,-2.912115335E0,1.246142149E0,5.966298103E0
8.743026040E-1,-3.054138422E0,5.971926451E-1,6.151108742E0
8.767285930E-1,-3.095510721E0,1.249382347E-1,6.388712883E0
8.791545830E-1,-3.045686483E0,-2.079446465E-1,6.520997524E0
8.815805720E-1,-2.885753870E0,-4.393478632E-1,6.442332268E0
8.840065620E-1,-2.591932535E0,-5.504534245E-1,6.186164856E0
8.864325510E-1,-2.098294497E0,-5.998530388E-1,5.814054966E0
8.888585410E-1,-1.281375527E0,-5.270059705E-1,5.473904610E0
8.912845310E-1,-3.451053500E-1,-3.396066427E-1,5.114329815E0
8.937105200E-1,6.722124219E-1,-5.747626349E-2,4.869563103E0
8.961365100E-1,1.661686540E0,3.585099578E-1,4.764422894E0
8.985624990E-1,2.646033525E0,7.965264320E-1,4.965857983E0
9.009884890E-1,3.663432598E0,1.233715892E0,5.253262520E0
9.034144790E-1,4.647623062E0,1.666449785E0,5.526498795E0
9.058404680E-1,5.655628204E0,2.104061604E0,5.761295795E0
9.082664580E-1,6.644631386E0,2.546402216E0,6.029754162E0
9.106924470E-1,7.605139732E0,2.979445696E0,6.283992290E0
9.131184370E-1,8.451360703E0,3.336632013E0,6.514697075E0
9.155444260E-1,9.207059860E0,3.646104097E0,6.798449516E0
9.179704160E-1,9.863053322E0,3.923147678E0,7.015670776E0
9.203964060E-1,1.043788338E1,4.090947151E0,7.132385731E0
9.228223950E-1,1.091732979E1,4.210623741E0,7.369213104E0
9.252483850E-1,1.127264977E1,4.229725361E0,7.697380066E0
9.276743740E-1,1.152264881E1,4.128723621E0,8.140618324E0
9.301003640E-1,1.160192204E1,3.977570772E0,8.374061584E0
9.325263540E-1,1.159213257E1,3.882705927E0,8.196546555E0
9.349523430E-1,1.149263763E1,3.780734777E0,7.746651649E0
9.373783330E-1,1.132227230E1,3.717882156E0,7.278235912E0
9.398043220E-1,1.108100510E1,3.679955006E0,6.757719040E0
9.422303120E-1,1.074035358E1,3.699920893E0,6.319500446E0
9.446563010E-1,1.035733414E1,3.801148653E0,5.996830463E0
9.470822910E-1,9.993271828E0,3.967824697E0,5.928099632E0
9.495082810E-1,9.563263893E0,4.221164703E0,5.912847519E0
9.519342700E-1,9.066727638E0,4.469859123E0,5.950676918E0
9.543602600E-1,8.631814003E0,4.727309227E0,6.045603275E0
9.567862490E-1,8.163479805E0,4.998255253E0,6.317969322E0
9.592122390E-1,7.704332352E0,5.249237537E0,6.690740108E0
9.616382290E-1,7.325138569E0,5.393844128E0,7.067314148E0
9.640642180E-1,7.020833969E0,5.374633789E0,7.418741703E0
9.664902080E-1,6.701807022E0,5.269253254E0,7.736368656E0
9.689161970E-1,6.434290409E0,5.029643059E0,7.942943573E0
9.713421870E-1,6.166790485E0,4.747894764E0,7.981745720E0
9.737681760E-1,5.851224899E0,4.360945225E0,7.996456623E0
9.761941660E-1,5.473649025E0,3.926253319E0,8.035302162E0
9.786201560E-1,5.090628624E0,3.413912058E0,8.193545341E0
9.810461450E-1,4.683930874E0,2.920657873E0,8.399908066E0
9.834721350E-1,4.277671814E0,2.452513456E0,8.443579674E0
9.858981240E-1,3.905313969E0,2.038342953E0,8.281375885E0
9.883241140E-1,3.580748558E0,1.653309822E0,8.018436432E0
9.907501040E-1,3.308844566E0,1.340056419E0,7.741107941E0
9.931760930E-1,3.103890181E0,1.098695874E0,7.415778637E0
9.956020830E-1,2.960971594E0,9.192396998E-1,7.104683876E0
9.980280720E-1,2.879807472E0,7.818614244E-1,6.898713589E0
1.000454062E0,2.841706514E0,6.924663186E-1,6.654368877E0
1.002880051E0,2.888872147E0,5.926131606E-1,6.438155651E0
1.005306041E0,2.936274529E0,5.593082309E-1,6.332361221E0
1.007732031E0,3.083187580E0,5.342453122E-1,6.316934109E0
1.010158020E0,3.258330584E0,5.127839446E-1,6.449774265E0
1.012584010E0,3.457149982E0,5.285049677E-1,6.745422363E0
1.015009999E0,3.693887711E0,5.485175252E-1,7.074362278E0
1.017435989E0,3.958585262E0,4.913887382E-1,7.407569408E0
1.019861979E0,4.223084927E0,4.006838202E-1,7.731054306E0
