"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.264442083E0,4.227209473E-1,5.102888489E-1,9.840386810E0
2.274414083E0,4.635859680E-1,5.438191223E-1,1.001956421E1
2.284385083E0,4.878355408E-1,5.818400574E-1,9.965676270E0
2.294357084E0,4.734654236E-1,6.083349609E-1,9.835596771E0
2.304329084E0,4.695735168E-1,6.339317322E-1,9.806557159E0
2.314300083E0,4.574487305E-1,6.514453125E-1,9.872569885E0
2.324272083E0,4.740641785E-1,6.643185425E-1,9.933044128E0
2.334244083E0,5.101391602E-1,6.625222778E-1,9.899364166E0
2.344215083E0,5.408253479E-1,6.307882690E-1,9.858349457E0
2.354187083E0,5.475613403E-1,5.927673340E-1,9.824070740E0
2.364159083E0,5.327421570E-1,5.557942200E-1,9.835297394E0
2.374131083E0,5.324427795E-1,5.360353088E-1,9.863887939E0
2.384102084E0,5.511538696E-1,5.182223511E-1,9.880952454E0
2.394074084E0,5.415737915E-1,5.010081482E-1,9.885592804E0
2.404046083E0,5.367837524E-1,5.081932068E-1,9.855205994E0
2.414017083E0,5.373825073E-1,5.057981873E-1,9.824220428E0
2.423989083E0,5.381309509E-1,5.054988098E-1,9.838889923E0
2.433961083E0,5.384303284E-1,5.248086548E-1,9.852661285E0
2.443932083E0,5.227130127E-1,5.297483826E-1,9.868677979E0
2.453904083E0,5.174739075E-1,5.373825073E-1,9.849368134E0
2.463876083E0,5.120851135E-1,5.412744141E-1,9.849068756E0
2.473848084E0,5.063969421E-1,5.367837524E-1,9.844278717E0
2.483819084E0,5.203179932E-1,5.281018066E-1,9.852511597E0
2.493791083E0,5.165757751E-1,5.236111450E-1,9.867630157E0
2.503763083E0,4.912783813E-1,5.161267090E-1,9.865983582E0
2.513734083E0,4.830455017E-1,5.168751526E-1,9.866133270E0
2.523706083E0,4.906796265E-1,5.291496277E-1,9.859097900E0
2.533678083E0,4.656816101E-1,5.432203674E-1,9.864037628E0
2.543649083E0,4.668791199E-1,5.454656982E-1,9.887089691E0
2.553621083E0,4.713697815E-1,5.484594727E-1,9.866881714E0
2.563593084E0,4.869374084E-1,5.508544922E-1,9.867929535E0
2.573565083E0,4.939727783E-1,5.474116516E-1,9.847272491E0
2.583536083E0,4.927752686E-1,5.411247253E-1,9.851014709E0
2.593508083E0,4.839436340E-1,5.463638306E-1,9.851763153E0
2.603480083E0,4.906796265E-1,5.327421570E-1,9.829758911E0
2.613451083E0,5.062472534E-1,5.129832458E-1,9.758058014E0
2.623423083E0,5.255570984E-1,5.111869812E-1,9.762099609E0
2.633395083E0,5.415737915E-1,5.159770203E-1,9.860894165E0
2.643366084E0,5.287005615E-1,5.269042969E-1,9.960437164E0
2.653338084E0,5.071453857E-1,5.451663208E-1,9.996512146E0
2.663310083E0,4.830455017E-1,5.602848816E-1,9.929601288E0
2.673282083E0,4.796026611E-1,5.568420410E-1,9.863738251E0
2.683253083E0,4.930746460E-1,5.261558533E-1,9.843081207E0
2.693225083E0,5.004093933E-1,5.069956970E-1,9.651329956E0
2.703197083E0,5.035528564E-1,5.137316895E-1,9.700876923E0
2.713168083E0,4.788542175E-1,5.355862427E-1,1.006357269E1
2.723140083E0,5.090913391E-1,5.536985779E-1,1.005938141E1
2.733112084E0,5.551954651E-1,5.330415344E-1,9.781708832E0
2.743083084E0,5.369334412E-1,4.550537109E-1,9.560019836E0
2.753055083E0,5.059478760E-1,3.995191956E-1,9.702822876E0
2.763027083E0,4.444258118E-1,4.140390015E-1,9.924362183E0
2.772998083E0,4.731660461E-1,5.035528564E-1,9.886191559E0
2.782970083E0,5.291496277E-1,6.176156616E-1,9.835596771E0
2.792942083E0,5.490582275E-1,6.610253906E-1,9.853858795E0
2.802914083E0,5.074447632E-1,6.349795532E-1,9.870174866E0
2.812885083E0,4.523593140E-1,6.111790466E-1,9.866582336E0
2.822857084E0,4.403842163E-1,5.724096680E-1,9.869725800E0
2.832829083E0,4.704716492E-1,5.451663208E-1,9.895771637E0
